ts,batch,event,file,rows_before,rows_after,detail
2026-04-02 18:00:26,B2,PREDICTIONS,,,,"85 plays, skipped 0"
2026-04-02 18:00:27,B2,BATCH_SUMMARY,,,,"props_fetched=85, plays_added=2"
2026-04-02 18:00:27,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,487,489,SAVE_TODAY
2026-04-02 18:00:29,B2,BATCH_COMPLETE,,,,
2026-04-03 07:30:00,B0,BATCH_START,,,,
2026-04-03 07:30:11,B0,BOXSCORES_FETCHED,,,,134 rows for 2026-04-02
2026-04-03 07:30:12,B0,BATCH_SUMMARY,,,,"plays_graded=82, wins=45, losses=37, dnp=3"
2026-04-03 07:30:14,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24676,,
2026-04-03 07:30:29,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/source-files/nba_gamelogs_2025_26.csv,24676,24813,APPEND_GAMELOGS
2026-04-03 07:30:29,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-03 07:33:09,B0,BATCH_COMPLETE,,,,
2026-04-03 08:00:01,B1,BATCH_START,,,,2026-04-03
2026-04-03 08:00:12,B1,PROPS_FETCHED,,,,"102 props, 9 games"
2026-04-03 08:00:34,B1,PREDICTIONS,,,,"101 plays, skipped 1"
2026-04-03 08:00:34,B1,BATCH_SUMMARY,,,,"props_fetched=101, plays_added=101"
2026-04-03 08:00:34,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,489,590,SAVE_TODAY
2026-04-03 08:00:37,B1,BATCH_COMPLETE,,,,
2026-04-03 18:00:01,B2,BATCH_START,,,,2026-04-03
2026-04-03 18:00:26,B2,PROPS_FETCHED,,,,"92 props, 9 games"
2026-04-03 18:00:43,B2,PREDICTIONS,,,,"92 plays, skipped 0"
2026-04-03 18:00:44,B2,BATCH_SUMMARY,,,,"props_fetched=92, plays_added=2"
2026-04-03 18:00:44,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,590,592,SAVE_TODAY
2026-04-03 18:00:46,B2,BATCH_COMPLETE,,,,
2026-04-03 22:18:42,B3,BATCH_START,,,,2026-04-03
2026-04-03 22:18:49,B3,PROPS_FETCHED,,,,"106 props, 9 games"
2026-04-03 22:19:06,B3,PREDICTIONS,,,,"105 plays, skipped 1"
